step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-med-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
65,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49604784776543454,0.01141017465345056,0.03783736945130913,0.5647030055858482
66,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49599107635303896,0.01141017465345056,0.03783736945130913,0.5647030055858482
67,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49593532800201073,0.01141017465345056,0.03783736945130913,0.5647030055858482
68,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4958805598976443,0.01141017465345056,0.03783736945130913,0.5647030055858482
69,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49582673164723495,0.01141017465345056,0.03783736945130913,0.5647030055858482
70,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4957738051265774,0.01141017465345056,0.03783736945130913,0.5647030055858482
71,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4957217443369082,0.01141017465345056,0.03783736945130913,0.5647030055858482
72,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49567051527159267,0.01141017465345056,0.03783736945130913,0.5647030055858482
73,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49562008579187683,0.01141017465345056,0.03783736945130913,0.5647030055858482
74,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49557042551107594,0.01141017465345056,0.03783736945130913,0.5647030055858482
